compensation,cond,participant,exp,shiftMag,group
14.64476031,down,sp125,noisyfb,-125,normal
2.063296785,up,sp126,noisyfb,125,normal
0.178053717,down,sp126,noisyfb,-125,normal
-6.900507872,up,sp131,noisyfb,125,normal
19.20305516,down,sp131,noisyfb,-125,normal
-6.88187025,up,sp039,noisyfb,125,normal
5.291317309,down,sp039,noisyfb,-125,normal
-5.453653695,up,sp134,noisyfb,125,normal
6.61960593,down,sp134,noisyfb,-125,normal
-3.940055535,up,sp138,noisyfb,125,normal
10.92159161,down,sp138,noisyfb,-125,normal
-6.95297895,up,sp144,noisyfb,125,normal
5.449281096,down,sp144,noisyfb,-125,normal
-8.126567199,up,sp147,noisyfb,125,normal
1.15098785,down,sp147,noisyfb,-125,normal
-5.428049491,up,sp148,noisyfb,125,normal
-1.696934285,down,sp148,noisyfb,-125,normal
-21.38589295,up,sp139,noisyfb,125,normal
7.235406835,down,sp139,noisyfb,-125,normal
2.754662995,up,sp140,noisyfb,125,normal
2.201489719,down,sp140,noisyfb,-125,normal
-10.44374036,up,sp149,noisyfb,125,normal
8.807507062,down,sp149,noisyfb,-125,normal
-7.275203194,up,sp150,noisyfb,125,normal
10.36986148,down,sp150,noisyfb,-125,normal
0.001583229,up,sp124,noisyfb,125,normal
7.959321746,down,sp124,noisyfb,-125,normal
6.786400149,up,sp152,noisyfb,125,normal
-1.063035366,down,sp152,noisyfb,-125,normal
-8.236196275,up,sp153,noisyfb,125,normal
3.711758801,down,sp153,noisyfb,-125,normal
-20.88547141,up,OA6,reachAndSpeech,125,na
-9.544944707,down,OA6,reachAndSpeech,-125,na
-8.942489919,up,OA7,reachAndSpeech,125,na
1.210315879,down,OA7,reachAndSpeech,-125,na
2.540023546,up,OA9,reachAndSpeech,125,na
2.207717981,down,OA9,reachAndSpeech,-125,na
-12.54608829,up,OA10,reachAndSpeech,125,na
17.42009958,down,OA10,reachAndSpeech,-125,na
-9.184875745,up,OA11,reachAndSpeech,125,na
11.33201916,down,OA11,reachAndSpeech,-125,na
-18.64329266,up,OA12,reachAndSpeech,125,na
2.149465287,down,OA12,reachAndSpeech,-125,na
-2.049137501,up,OA13,reachAndSpeech,125,na
-2.095523853,down,OA13,reachAndSpeech,-125,na
-7.198561635,up,OA15,reachAndSpeech,125,na
-0.063439415,down,OA15,reachAndSpeech,-125,na
4.211860877,up,OA16,reachAndSpeech,125,na
-9.728998904,down,OA16,reachAndSpeech,-125,na
-4.001194715,up,OA17,reachAndSpeech,125,na
-2.162131164,down,OA17,reachAndSpeech,-125,na
-5.374794285,up,OA19,reachAndSpeech,125,na
6.427743677,down,OA19,reachAndSpeech,-125,na
-18.98019944,up,OA20,reachAndSpeech,125,na
6.905605465,down,OA20,reachAndSpeech,-125,na
15.49282133,up,f0,fmtAlt,75.30731581,na
14.94386184,down,f0,fmtAlt,-97.85481149,na
-1.270584747,up,f4,fmtAlt,93.69488491,na
2.51922904,down,f4,fmtAlt,-94.14026452,na
-1.504302917,up,f5,fmtAlt,85.3036182,na
0.242338451,down,f5,fmtAlt,-95.13595506,na
-0.872960177,up,f8,fmtAlt,79.67115476,na
0.838693421,down,f8,fmtAlt,-92.66629385,na
-1.152662345,up,f10,fmtAlt,99.39342795,na
5.075505183,down,f10,fmtAlt,-95.33060637,na
-0.982730872,up,f11,fmtAlt,75.53354676,na
2.074114308,down,f11,fmtAlt,-97.6710539,na
0.798435608,up,f12,fmtAlt,98.0734013,na
-0.291464851,down,f12,fmtAlt,-100.6712535,na
-0.564222753,up,f14,fmtAlt,91.2950096,na
3.97452836,down,f14,fmtAlt,-99.87181911,na
-0.333420924,up,f15,fmtAlt,103.0969603,na
1.106337202,down,f15,fmtAlt,-88.82083059,na
-0.671141921,up,f16,fmtAlt,101.9039049,na
-0.074396869,down,f16,fmtAlt,-86.04663559,na
1.150007513,up,f18,fmtAlt,103.5279988,na
0.510198486,down,f18,fmtAlt,-99.18499182,na
-2.456757525,up,f20,fmtAlt,103.7880351,na
2.889523232,down,f20,fmtAlt,-90.82376824,na
7.515826662,up,f21,fmtAlt,95.30220533,na
7.097933462,down,f21,fmtAlt,-95.24011172,na
-1.292398279,up,f22,fmtAlt,95.68609421,na
5.916000275,down,f22,fmtAlt,-92.68540201,na
-3.291746881,up,f24,fmtAlt,91.23341688,na
-0.587498342,down,f24,fmtAlt,-93.77183259,na
-14.74499461,up,c12,cat,163.1619567,na
8.155196254,down,c12,cat,-159.3792485,na
-1.710049423,up,c14,cat,79.52621382,na
-5.468099631,down,c14,cat,-79.71171554,na
5.000822782,up,c15,cat,95.3468702,na
10.77716212,down,c15,cat,-92.5886935,na
-2.72649846,up,c20,cat,80.76353659,na
4.01585167,down,c20,cat,-74.36537601,na
2.646577802,up,c21,cat,61.15638006,na
2.498398756,down,c21,cat,-61.88473149,na
