oneShot,cond,participant,exp,shiftMag,group
0.159769746,down,sp125,noisyfb,-125,normal
3.147296426,up,sp126,noisyfb,125,normal
1.284963059,down,sp126,noisyfb,-125,normal
-6.973138509,up,sp131,noisyfb,125,normal
8.529215969,down,sp131,noisyfb,-125,normal
-0.821669959,up,sp039,noisyfb,125,normal
-4.553084831,down,sp039,noisyfb,-125,normal
-5.735304606,up,sp134,noisyfb,125,normal
-5.090814928,down,sp134,noisyfb,-125,normal
5.889899344,up,sp138,noisyfb,125,normal
1.766853133,down,sp138,noisyfb,-125,normal
-9.349124438,up,sp144,noisyfb,125,normal
4.12024758,down,sp144,noisyfb,-125,normal
-4.375841822,up,sp147,noisyfb,125,normal
13.83951897,down,sp147,noisyfb,-125,normal
-4.502011927,up,sp148,noisyfb,125,normal
-0.951791328,down,sp148,noisyfb,-125,normal
-11.52321584,up,sp139,noisyfb,125,normal
8.842469472,down,sp139,noisyfb,-125,normal
4.968953935,up,sp140,noisyfb,125,normal
-11.25034147,down,sp140,noisyfb,-125,normal
-2.844621181,up,sp149,noisyfb,125,normal
1.786646553,down,sp149,noisyfb,-125,normal
4.872890091,up,sp150,noisyfb,125,normal
5.31470021,down,sp150,noisyfb,-125,normal
-1.470215295,up,sp124,noisyfb,125,normal
1.910156417,down,sp124,noisyfb,-125,normal
0.954077896,up,sp152,noisyfb,125,normal
-4.172726139,down,sp152,noisyfb,-125,normal
-1.961352403,up,sp153,noisyfb,125,normal
-7.152762881,down,sp153,noisyfb,-125,normal
-18.55460247,up,OA6,reachAndSpeech,125,na
-10.74204945,down,OA6,reachAndSpeech,-125,na
-5.441863447,up,OA7,reachAndSpeech,125,na
-20.94696336,down,OA7,reachAndSpeech,-125,na
0.661660278,up,OA9,reachAndSpeech,125,na
2.436521646,down,OA9,reachAndSpeech,-125,na
0.761252646,up,OA10,reachAndSpeech,125,na
-3.245271755,down,OA10,reachAndSpeech,-125,na
-6.455786174,up,OA11,reachAndSpeech,125,na
4.801227557,down,OA11,reachAndSpeech,-125,na
-13.04018616,up,OA12,reachAndSpeech,125,na
1.589202209,down,OA12,reachAndSpeech,-125,na
-0.662800509,up,OA13,reachAndSpeech,125,na
-3.660990317,down,OA13,reachAndSpeech,-125,na
-7.059505353,up,OA15,reachAndSpeech,125,na
3.676630738,down,OA15,reachAndSpeech,-125,na
2.31853955,up,OA16,reachAndSpeech,125,na
-9.828951505,down,OA16,reachAndSpeech,-125,na
-2.100237163,up,OA17,reachAndSpeech,125,na
-9.105447495,down,OA17,reachAndSpeech,-125,na
-18.01316619,up,OA19,reachAndSpeech,125,na
16.21933843,down,OA19,reachAndSpeech,-125,na
-5.526412499,up,OA20,reachAndSpeech,125,na
12.15058547,down,OA20,reachAndSpeech,-125,na
2.684450002,up,f0,fmtAlt,75.30731581,na
-6.533936376,down,f0,fmtAlt,-97.85481149,na
1.744634763,up,f4,fmtAlt,93.69488491,na
-0.664883386,down,f4,fmtAlt,-94.14026452,na
2.529900511,up,f5,fmtAlt,85.3036182,na
0.257003201,down,f5,fmtAlt,-95.13595506,na
-1.191402153,up,f8,fmtAlt,79.67115476,na
0.976520908,down,f8,fmtAlt,-92.66629385,na
-2.073411452,up,f10,fmtAlt,99.39342795,na
-3.09126618,down,f10,fmtAlt,-95.33060637,na
-1.517392523,up,f11,fmtAlt,75.53354676,na
-0.994309594,down,f11,fmtAlt,-97.6710539,na
-1.602869004,up,f12,fmtAlt,98.0734013,na
-5.909128265,down,f12,fmtAlt,-100.6712535,na
5.699378862,up,f14,fmtAlt,91.2950096,na
1.59378583,down,f14,fmtAlt,-99.87181911,na
3.294003707,up,f15,fmtAlt,103.0969603,na
0.800834176,down,f15,fmtAlt,-88.82083059,na
-2.905731485,up,f16,fmtAlt,101.9039049,na
-3.470065881,down,f16,fmtAlt,-86.04663559,na
-2.220874002,up,f18,fmtAlt,103.5279988,na
-0.535357559,down,f18,fmtAlt,-99.18499182,na
-3.168849581,up,f20,fmtAlt,103.7880351,na
-4.078964396,down,f20,fmtAlt,-90.82376824,na
0.187434233,up,f21,fmtAlt,95.30220533,na
-2.810182788,down,f21,fmtAlt,-95.24011172,na
0.472471916,up,f22,fmtAlt,95.68609421,na
4.765905638,down,f22,fmtAlt,-92.68540201,na
-1.224198145,up,f24,fmtAlt,91.23341688,na
-6.152615564,down,f24,fmtAlt,-93.77183259,na
-9.076488677,up,c12,cat,163.1619567,na
8.563266271,down,c12,cat,-159.3792485,na
-0.928727291,up,c14,cat,79.52621382,na
-5.181183761,down,c14,cat,-79.71171554,na
-11.60920485,up,c15,cat,95.3468702,na
-5.066175992,down,c15,cat,-92.5886935,na
-4.14679166,up,c20,cat,80.76353659,na
-9.107410401,down,c20,cat,-74.36537601,na
11.31312931,up,c21,cat,61.15638006,na
18.4191112,down,c21,cat,-61.88473149,na
-11.44232515,up,c24,cat,90.5824816,na
2.041902098,down,c24,cat,-88.45323264,na
-5.372561,up,c28,cat,121.6622844,na
-6.195489051,down,c28,cat,-124.452167,na
-2.927505037,up,c38,cat,126.9964598,na
-1.756408738,down,c38,cat,-116.171692,na
-0.436628694,up,c45,cat,128.3109765,na
0.517851313,down,c45,cat,-134.192771,na
3.675518678,up,c52,cat,106.870636,na
-2.100663353,down,c52,cat,-106.1482038,na
-12.67507563,up,c58,cat,145.6126524,na
5.012054996,down,c58,cat,-153.3259895,na
-4.947281532,up,HOC1,random,124.1848162,na
10.30890389,down,HOC1,random,-139.3556191,na
-0.812051725,up,HOC2,random,119.9385501,na
0.049576014,down,HOC2,random,-133.6189422,na
0.361723188,up,HOC3,random,113.4759536,na
5.78233299,down,HOC3,random,-124.3885833,na
1.057852064,up,HOC4,random,122.3942357,na
-1.24953076,down,HOC4,random,-137.1873226,na
-12.65362601,up,HOC5,random,123.7837794,na
-6.374421953,down,HOC5,random,-139.0172754,na
1.963516566,up,HOC7,random,116.5600726,na
13.14333016,down,HOC7,random,-129.8774851,na
9.631475477,up,HOC9,random,109.6546237,na
10.37212119,down,HOC9,random,-121.4331282,na
15.16188617,up,HOC10,random,108.5565645,na
3.723723407,down,HOC10,random,-120.0269856,na
-8.051640452,up,HOC13,random,125.4622626,na
5.767384999,down,HOC13,random,-140.9563663,na
1.192999907,up,HOC14,random,117.2484889,na
8.894059401,down,HOC14,random,-130.7103519,na
3.001018293,up,HOC15,random,120.9665836,na
6.757068128,down,HOC15,random,-135.4491262,na
-7.885458019,up,HOC16,random,104.6155376,na
-6.694778007,down,HOC16,random,-115.0158039,na
0.611038708,up,HOC17,random,113.6545809,na
-6.446211633,down,HOC17,random,-126.2665703,na
