oneShot,OSTrial,cond,shiftMag,exp,participant,group,compTrial,compensation
16.5678156272141,55,down,-125,noisyfb,sp003,noisy,54,-5.29372752309281
2.31395590290657,71,down,-125,noisyfb,sp003,noisy,70,-25.212019664379
9.01602276577947,77,down,-125,noisyfb,sp003,noisy,76,10.1534384915039
-14.1075652046706,193,down,-125,noisyfb,sp003,noisy,192,22.1979105936532
27.3566821730241,212,down,-125,noisyfb,sp003,noisy,211,12.0138944905783
26.5526227568958,215,down,-125,noisyfb,sp003,noisy,214,19.6300190620829
-10.5959259357935,218,down,-125,noisyfb,sp003,noisy,217,-4.0519832428327
36.3898337490834,231,down,-125,noisyfb,sp003,noisy,230,25.7663711128366
10.636650244575,236,down,-125,noisyfb,sp003,noisy,235,13.3577958657883
44.634098983658,3,up,125,noisyfb,sp006,noisy,2,49.3629715406714
44.9648169363936,37,up,125,noisyfb,sp006,noisy,36,28.344987397848
-8.80315480143944,137,up,125,noisyfb,sp006,noisy,136,-68.815629590666
-15.8822385736886,140,up,125,noisyfb,sp006,noisy,139,-41.5154683539234
-21.1411549539595,151,up,125,noisyfb,sp006,noisy,150,-11.6757597944547
-13.1155098305757,163,up,125,noisyfb,sp006,noisy,162,-36.7844498836365
-23.1216882703411,168,up,125,noisyfb,sp006,noisy,167,-7.09146972080187
20.0045131244523,177,up,125,noisyfb,sp006,noisy,176,-13.0884387550902
-11.4248027943533,179,up,125,noisyfb,sp006,noisy,178,-29.0746662177911
-61.5362045276716,185,up,125,noisyfb,sp006,noisy,184,-8.06974018830148
30.3475403933579,199,up,125,noisyfb,sp006,noisy,198,-77.3569632704668
40.0465077751275,5,up,125,noisyfb,sp006,noisy,4,50.5115123837472
13.1502482024807,11,up,125,noisyfb,sp006,noisy,10,26.3456979259819
31.1483204116382,22,up,125,noisyfb,sp006,noisy,21,-0.524845022245914
10.6457104685061,50,up,125,noisyfb,sp006,noisy,49,6.08787515934227
19.1094435251264,60,up,125,noisyfb,sp006,noisy,59,41.085669945645
41.8288441934089,64,up,125,noisyfb,sp006,noisy,63,5.90330797999888
30.6261483090801,66,up,125,noisyfb,sp006,noisy,65,38.0337963235551
38.8744360603616,73,up,125,noisyfb,sp006,noisy,72,37.108378523375
59.8043788698739,123,up,125,noisyfb,sp006,noisy,122,-35.2485789804611
-25.7380043227031,128,up,125,noisyfb,sp006,noisy,127,-35.9427278412599
31.6500445946377,130,up,125,noisyfb,sp006,noisy,129,-32.8662781689565
17.4671449683479,183,up,125,noisyfb,sp006,noisy,182,-5.20501938528407
-10.6571480980594,9,up,125,noisyfb,sp006,noisy,8,58.4774114630564
2.63069164008465,24,up,125,noisyfb,sp006,noisy,23,8.16782079006822
-2.66302276914168,31,up,125,noisyfb,sp006,noisy,30,-5.14341132568851
-22.3249244541801,45,up,125,noisyfb,sp006,noisy,44,15.7325428809937
-34.4201461758068,69,up,125,noisyfb,sp006,noisy,68,-3.47987697267691
10.0221965729266,89,up,125,noisyfb,sp006,noisy,88,47.1282752357018
6.13580546241172,91,up,125,noisyfb,sp006,noisy,90,-24.6127593105713
36.8293803247382,104,up,125,noisyfb,sp006,noisy,103,-14.8037894863815
17.7946668308687,117,up,125,noisyfb,sp006,noisy,116,29.5965695619399
-2.10724293211653,149,up,125,noisyfb,sp006,noisy,148,-18.3506150522766
-44.966266072165,158,up,125,noisyfb,sp006,noisy,157,-27.2513129274133
-22.3685024822037,171,up,125,noisyfb,sp006,noisy,170,-44.6815353322317
1.5199176280329,189,up,125,noisyfb,sp006,noisy,188,11.2756503197817
-11.5545613733887,202,up,125,noisyfb,sp006,noisy,201,-42.1062876285471
-8.59267480309322,210,up,125,noisyfb,sp006,noisy,209,-20.9026973722237
10.8893528649029,7,down,-125,noisyfb,sp006,noisy,6,61.3815227286339
-0.793996178541161,16,down,-125,noisyfb,sp006,noisy,15,56.5489544511057
14.9988316998745,18,down,-125,noisyfb,sp006,noisy,17,53.8738365596471
48.561403873065,41,down,-125,noisyfb,sp006,noisy,40,21.9007089559949
-11.0677384896634,79,down,-125,noisyfb,sp006,noisy,78,4.1804291865344
58.1604846245559,96,down,-125,noisyfb,sp006,noisy,95,0.0596205251878614
17.8011645257087,134,down,-125,noisyfb,sp006,noisy,133,-63.3373662080669
-71.2106160805814,144,down,-125,noisyfb,sp006,noisy,143,-59.8037734521481
-47.55092193131,154,down,-125,noisyfb,sp006,noisy,153,30.1777398991502
25.8570687444269,196,down,-125,noisyfb,sp006,noisy,195,17.1798014181957
-28.7148211202351,227,down,-125,noisyfb,sp006,noisy,226,18.3626064868312
29.9209194088899,238,down,-125,noisyfb,sp006,noisy,237,30.5941916738678
18.0327431281288,20,down,-125,noisyfb,sp006,noisy,19,57.9964900571437
24.4075317665042,33,down,-125,noisyfb,sp006,noisy,32,-25.6164916011741
25.4943089651052,57,down,-125,noisyfb,sp006,noisy,56,25.8713842656134
41.8355168405382,81,down,-125,noisyfb,sp006,noisy,80,20.2185783848412
9.73631716936254,86,down,-125,noisyfb,sp006,noisy,85,22.1016649543241
21.5033928896094,101,down,-125,noisyfb,sp006,noisy,100,47.5573339594728
28.3101478443221,107,down,-125,noisyfb,sp006,noisy,106,45.4058630448739
55.2327181017476,119,down,-125,noisyfb,sp006,noisy,118,45.507814556367
-3.89518847686993,142,down,-125,noisyfb,sp006,noisy,141,-67.8758074305974
-53.8188650823669,156,down,-125,noisyfb,sp006,noisy,155,-27.2700427245977
-6.54598723320876,160,down,-125,noisyfb,sp006,noisy,159,-22.9316265801462
20.5149981504364,204,down,-125,noisyfb,sp006,noisy,203,-17.7709641104644
23.8774995324308,220,down,-125,noisyfb,sp006,noisy,219,-8.37450295327083
6.22238449368032,224,down,-125,noisyfb,sp006,noisy,223,7.08282862700664
1.94883035532396,35,down,-125,noisyfb,sp006,noisy,34,4.27555224786764
18.8892443459322,47,down,-125,noisyfb,sp006,noisy,46,-75.9060151876187
-9.23721575277374,52,down,-125,noisyfb,sp006,noisy,51,33.0632503312865
18.4398739924032,55,down,-125,noisyfb,sp006,noisy,54,28.5664841377026
10.9872714990444,71,down,-125,noisyfb,sp006,noisy,70,18.2992484247346
4.80090708447828,77,down,-125,noisyfb,sp006,noisy,76,58.8021417199198
